id_pedido,data_venda,id_cliente,cliente,segmento,regiao,uf,id_produto,produto,categoria,canal_venda,vendedor,forma_pagamento,quantidade,preco_unitario,desconto_pct,receita_bruta,valor_desconto,receita_liquida,custo_total,lucro,status_pedido,prazo_entrega_dias,avaliacao_cliente
V00001,2025-10-09,C002,Beta Varejo,B2B,Sudeste,MG,P001,Notebook Pro 14,Informática,E-commerce,Bruno Lima,Pix,2,4658.46,0.05,9316.92,465.85,8851.07,6269.32,2581.75,Concluída,3,2.0
V00002,2025-03-31,C002,Beta Varejo,B2B,Sudeste,MG,P009,Smartphone X,Telefonia,Marketplace,Ana Souza,Cartão Crédito,6,2890.29,0.05,17341.74,867.09,16474.65,10973.64,5501.01,Pendente,7,3.0
V00003,2025-08-27,C002,Beta Varejo,B2B,Sudeste,MG,P004,Monitor 24,Informática,Loja Física,Fernanda Rocha,Pix,1,836.91,0.0,836.91,0.0,836.91,618.82,218.09,Concluída,3,5.0
V00004,2025-08-14,C009,Shopping Mix,B2C,Nordeste,PE,P007,Mesa Office,Móveis,Marketplace,Fernanda Rocha,Boleto,1,752.13,0.0,752.13,0.0,752.13,430.9,321.23,Cancelada,3,4.0
V00005,2026-03-09,C001,Alfa Distribuidora,B2B,Sudeste,SP,P003,Teclado Mecânico,Acessórios,Representante,Carla Mendes,Pix,3,291.27,0.05,873.81,43.69,830.12,413.55,416.57,Concluída,10,
V00006,2025-04-15,C004,Delta Store,B2B,Sul,PR,P006,Cadeira Ergonômica,Móveis,Loja Física,Diego Alves,Cartão Crédito,5,1305.47,,6527.35,0.0,6527.35,4537.75,1989.6,Concluída,3,4.0
V00007,2025-09-28,C006,Mercado Central,B2B,Nordeste,BA,P006,Cadeira Ergonômica,Móveis,Loja Física,Diego Alves,Cartão Crédito,1,1485.07,0.0,1485.07,0.0,1485.07,904.15,580.92,Concluída,5,4.0
V00008,2025-10-28,C007,Loja Avenida,B2C,Centro-Oeste,GO,P002,Mouse Wireless,Acessórios,Representante,Fernanda Rocha,Pix,1,105.76,0.08,105.76,8.46,97.3,41.39,55.91,Devolvida,5,
V00009,2025-08-22,C002,Beta Varejo,B2B,Sudeste,MG,P001,Notebook Pro 14,Informática,Representante,Ana Souza,Pix,1,3961.09,0.0,3961.09,0.0,3961.09,2984.61,976.48,Concluída,3,5.0
V00010,2025-10-12,C002,Beta Varejo,B2B,Sudeste,MG,P007,Mesa Office,Móveis,Marketplace,Carla Mendes,Pix,2,750.21,0.03,1500.42,45.01,1455.41,813.02,642.39,Cancelada,2,
V00011,2025-08-03,C006,Mercado Central,B2B,Nordeste,,P006,Cadeira Ergonômica,Móveis,Representante,Ana Souza,Pix,5,1274.02,0.0,6370.1,0.0,6370.1,4640.5,1729.6,Concluída,7,5.0
V00012,2025-06-17,C009,Shopping Mix,B2C,Nordeste,PE,P004,Monitor 24,Informática,Marketplace,Diego Alves,Boleto,1,871.19,0.0,871.19,0.0,871.19,655.97,215.22,Concluída,4,2.0
V00013,2025-11-29,C009,Shopping Mix,B2C,Nordeste,PE,P004,Monitor 24,Informática,Loja Física,Bruno Lima,Cartão Crédito,2,864.67,0.05,1729.34,86.47,1642.87,1262.4,380.47,Devolvida,4,3.0
V00014,2025-10-02,C006,Mercado Central,B2B,Nordeste,BA,P007,Mesa Office,Móveis,Loja Física,Bruno Lima,Boleto,4,832.55,0.03,3330.2,99.91,3230.29,1821.08,1409.21,Concluída,5,4.0
V00015,2026-02-10,C004,Delta Store,B2B,Sul,PR,P008,Webcam Full HD,Acessórios,Marketplace,Bruno Lima,Boleto,1,193.98,0.0,193.98,0.0,193.98,93.11,100.87,Concluída,4,
V00016,2025-09-27,C003,Casa Norte,B2C,Norte,AM,P004,Monitor 24,Informática,Marketplace,Fernanda Rocha,Transferência,2,881.35,0.05,1762.7,88.14,1674.56,1172.64,501.92,Concluída,3,3.0
V00017,2025-05-22,C006,Mercado Central,B2B,Nordeste,BA,P004,Monitor 24,Informática,Marketplace,Ana Souza,Cartão Crédito,8,959.23,0.05,7673.84,383.69,7290.15,5255.12,2035.03,Cancelada,3,5.0
V00018,2025-06-13,C002,Beta Varejo,B2B,Sudeste,MG,P003,Teclado Mecânico,Acessórios,Marketplace,Fernanda Rocha,Cartão Crédito,3,344.84,0.1,1034.52,103.45,931.07,425.1,505.97,Concluída,3,4.0
